rank,title,director,actors,genre,Description,runtime,Votes,rating
101,Happiest Season,Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber","Comedy, Drama, Romance","A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",102,30723,6.6
102,The Call of the Wild,Chris Sanders,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens","Adventure, Drama, Family",A sled dog struggles for survival in the wilds of the Yukon.,100,43567,6.8
103,Spontaneous,Brian Duffield,"Katherine Langford, Charlie Plummer, Yvonne Orji, Hayley Law","Comedy, Horror, Romance","Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.",101,9493,6.5
104,Supernova,Harry Macqueen,"Colin Firth, Stanley Tucci, Pippa Haywood, Peter MacQueen","Drama, Romance","Sam and Tusker are traveling across England in their old RV to visit friends, family and places from their past. Since Tusker was diagnosed with dementia two years ago, their time together is the most important thing they have.",95,7062,6.9
105,Soorarai Pottru,Sudha Kongara,"Suriya, Paresh Rawal, Aparna Balamurali, Prakash Belawadi",Drama,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",153,89319,9.1
106,His House,Remi Weekes,"Sope Dirisu, Wunmi Mosaku, Malaika Wakoli-Abigaba, Matt Smith","Drama, Horror, Thriller","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",93,33329,6.5
107,The Midnight Sky,George Clooney,"George Clooney, Felicity Jones, David Oyelowo, Caoilinn Springall","Drama, Fantasy, Sci-Fi","This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",118,77162,5.6
108,Hubie Halloween,Steven Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta","Comedy, Mystery","Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.",103,42886,5.2
109,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jason Woliner,"Sacha Baron Cohen, Maria Bakalova, Tom Hanks, Dani Popescu",Comedy,"Borat returns from Kazakhstan to America and this time he reveals more about the American culture, the COVID-19 pandemic and the political elections.",95,129282,6.7
110,2 Hearts,Lance Hool,"Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell","Drama, Romance","For two couples the future unfolds in different decades and different places, but a hidden connection will bring them together in a way no one could have predicted.",101,2449,6.2
111,Honeydew,Devereux Milburn,"Barbara Kingsley, Stephen D'Ambrose, William Aydelott, Rachel Alexandria Arnold",Horror,Strange cravings and hallucinations befall a young couple after seeking shelter in the home of an aging farmer and her peculiar son.,106,1158,4.4
112,Breach,John Suits,"Cody Kearsley, Bruce Willis, Rachel Nichols, Kassandra Clementi","Action, Horror, Sci-Fi","On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.",92,16048,3
113,Archive,Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra, Peter Ferdinando","Drama, Mystery, Sci-Fi",2038: George Almore is working on a true human-equivalent AI. His latest prototype is almost ready. This sensitive phase is also the riskiest. Especially as he has a goal that must be hidden at all costs.,109,16408,6.4
114,Escape from Pretoria,Francis Annan,"Daniel Radcliffe, Daniel Webber, Ian Hart, Mark Leonard Winter",Thriller,"Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.",106,30059,6.8
115,We Can Be Heroes,Robert Rodriguez,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas, Lyon Daniels","Action, Comedy, Drama","When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.",100,12609,4.7
116,Made in Italy,James D'Arcy,"Yolanda Kettle, Micheál Richardson, Souad Faress, Liam Neeson","Comedy, Drama, Romance",A bohemian artist travels from London to Italy with his estranged son to sell the house he inherited from his late wife.,94,6448,5.9
117,Half Brothers,Luke Greenfield,"Connor Del Rio, José Zúñiga, Luis Gerardo Méndez, Vincent Spano","Comedy, Drama","Renato, a Mexican aviation exec, is shocked to learn he has an American half-brother he never knew about, the free-spirited Asher. They are forced on a road trip together, tracing the path their father took from Mexico to the US.",96,1702,6.1
118,Hillbilly Elegy,Ron Howard,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett",Drama,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",116,38030,6.7
119,Wild Mountain Thyme,John Patrick Shanley,"Emily Blunt, Jamie Dornan, Jon Hamm, Christopher Walken","Comedy, Drama, Romance",A pair of star-crossed lovers in Ireland get caught up in their family's land dispute.,102,5306,5.7
120,Kolskaya sverhglubokaya,Arseny Syuhin,"Milena Radulovic, Sergey Ivanyuk, Nikolay Kovbas, Vadim Demchog","Horror, Thriller",A small research team went down below the surface to find out what secret the world's deepest borehole was hiding. What they have found turned out to be the greatest threat in history. And the future of humanity is in their hands.,115,3015,4.9
121,2067,Seth Larney,"Aaron Glenane, Kodi Smit-McPhee, Ryan Kwanten, Finn Little",Sci-Fi,One man's journey to the future to save a dying world.,114,7365,4.9
122,Army of One,Stephen Durham,"Ellen Hollman, Matt Passmore, Geraldine Singer, Stephen Dunlevy",Action,"Out hiking, Special Forces Brenner Baker stumbles onto a Cartel's compound. Her husband's killed and she's left for dead. The Cartel made two mistakes, killing her husband and leaving her alive. They won't live to make another.",87,3888,4.7
123,All the Bright Places,Brett Haley,"Elle Fanning, Justice Smith, Alexandra Shipp, Kelli O'Hara","Drama, Romance","The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",107,25076,6.5
124,Wander,April Mullen,"Aaron Eckhart, Tommy Lee Jones, Katheryn Winnick, Heather Graham",Thriller,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter.",94,7814,4.9
125,Kajillionaire,Miranda July,"Richard Jenkins, Debra Winger, Evan Rachel Wood, Patricia Belcher","Comedy, Crime, Drama",A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,104,14186,6.5
126,The Comeback Trail,George Gallo,"Robert De Niro, Tommy Lee Jones, Morgan Freeman, Zach Braff","Comedy, Crime",Two movie producers who owe money to the mob set up their aging movie star for an insurance scam to try and save themselves. But they wind up getting more than they ever imagined.,104,4386,5.6
127,Scoob!,Tony Cervone,"Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez","Animation, Adventure, Comedy","Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.",93,23259,5.7
128,Holidate,John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher","Comedy, Romance","Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",104,52309,6.1
129,Kol,Chung-Hyun Lee,"Park Shin-Hye, Jeon Jong-seo, Sung-ryung Kim, Lee El","Crime, Horror, Mystery","Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",112,24521,7.1
130,De Oost,Jim Taihuttu,"Martijn Lakemeier, Marwan Kenzari, Jonas Smulders, Abel van Gijlswijk","Drama, Thriller, War",A young Dutch soldier deployed to suppress post-WWII independence efforts in the Netherlands' colony of Indonesia finds himself torn between duty and conscience when he joins an increasingly ruthless commander's elite squad.,137,3627,7
131,Bando,Sang-ho Yeon,"Dong-won Gang, Lee Jung-hyun, Re Lee, Hae-hyo Kwon","Action, Horror, Thriller","A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",116,27409,5.5
132,The Silencing,Robin Pront,"Nikolaj Coster-Waldau, Caleb Ellsworth-Clark, Josh Cruddas, Annabelle Wallis","Action, Crime, Thriller",A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,93,17561,6.2
133,The Education of Fredrick Fitzell,Christopher MacBride,"Liisa Repo-Martell, Dylan O'Brien, Hannah Gross, Donald Burda","Drama, Mystery, Thriller","After a chance encounter with a man forgotten from his youth, Fred literally and metaphorically journeys into his past.",97,3785,5.4
134,Sweat,Magnus von Horn,"Magdalena Kolesnik, Julian Swiezewski, Aleksandra Konieczna, Zbigniew Zamachowski",Drama,"Three days in the life of fitness motivator Sylwia Zajac, a social media celebrity surrounded by loyal employees and admirers, who is really looking for true intimacy.",106,1675,6.6
135,The Sound of Philadelphia,Jérémie Guez,"Matthias Schoenaerts, Joel Kinnaman, Maika Monroe, Paul Schneider","Action, Crime, Drama","A tale of family, friendships and betrayal in the violent world of the Philadelphia mob.",105,1359,4.9
136,The Wrong Missy,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson","Comedy, Romance","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",90,35644,5.7
137,Becky,Jonathan Milott,"Lulu Wilson, Kevin James, Joel McHale, Robert Maillet","Action, Crime, Drama",A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,93,14427,5.9
138,The War with Grandpa,Tim Hill,"Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley","Comedy, Drama, Family","Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",94,17180,5.6
139,Lost Girls and Love Hotels,William Olsson,"Alexandra Daddario, Takehiro Hira, Carice van Houten, Andrew Rothney",Drama,"Haunted by her past, an English teacher explores love and dust with a dashing yakuza gangster in Tokyo.",97,3737,4.6
140,The Rental,Dave Franco,"Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White","Drama, Horror, Mystery",Two couples rent a vacation home for what should be a celebratory weekend get-away.,88,24071,5.7
141,Chick Fight,Paul Leyden,"Malin Akerman, Bella Thorne, Dulcé Sloan, Kevin Connolly","Action, Comedy, Drama","When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.",97,3411,4.6
142,Limbo,Ben Sharrock,"Sidse Babett Knudsen, Kenneth Collard, Amir El-Masry, Vikash Bhai",Drama,"Omar is a promising young musician. Separated from his Syrian family, he is stuck on a remote Scottish island awaiting the fate of his asylum request.",104,1495,7.2
143,The Tax Collector,David Ayer,"Bobby Soto, Cinthya Carmona, Shia LaBeouf, Jose Conejo Martin","Action, Crime, Drama","A ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in L.A. and upends the business.",95,11489,4.8
144,The Wolf of Snow Hollow,Jim Cummings,"Jim Cummings, Riki Lindhome, Robert Forster, Chloe East","Comedy, Horror, Mystery","Terror grips a small mountain town as bodies are discovered after each full moon. Losing sleep, raising a teenage daughter, and caring for his ailing father, officer Marshall struggles to remind himself there's no such thing as werewolves.",83,14862,6.2
145,Project Power,Henry Joost,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro","Action, Crime, Sci-Fi","When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",113,78970,6
146,Meander,Mathieu Turi,"Gaia Weiss, Peter Franzén, Romane Libert, Frédéric Franchitti","Drama, Horror, Mystery",A woman finds herself locked in a series of strange tunnels full of deadly traps.,90,3928,5.8
147,Falling,Viggo Mortensen,"Viggo Mortensen, Lance Henriksen, Terry Chen, Sverrir Gudnason",Drama,"John Peterson lives with his partner Eric and their adopted daughter in Southern California. When he is visited by his aging father who is searching for a place to retire, their two very different worlds collide.",112,4112,6.5
148,Capone,Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon, Al Sapienza","Biography, Crime, Drama","The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",103,18469,4.7
149,The Way Back,Gavin O'Connor,"Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins","Drama, Sport","Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",108,39148,6.7
